timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-06-18,193430.83525400,194765.82000000,191525.92341000,192139.54516200,26516.99000000,26700.00000000,26255.85000000,26339.97000000,21538.31022000,21538.31022000
2023-06-17,192176.30994600,195786.99105400,190979.92260000,193430.83525400,26345.01000000,26839.99000000,26181.00000000,26516.99000000,27842.21950000,27842.21950000
2023-06-16,186730.74515400,193438.20280000,183645.63997600,192176.23700000,25598.49000000,26518.00000000,25175.56000000,26345.00000000,51596.91662000,51596.91662000
2023-06-15,183303.08556000,187901.67434600,180906.08000000,186730.74515400,25128.60000000,25759.01000000,24800.00000000,25598.49000000,48664.86063000,48664.86063000
2023-06-14,189179.90710400,190374.47080000,181056.05697600,183303.08556000,25934.24000000,26098.00000000,24820.56000000,25128.60000000,45077.31608000,45077.31608000
2023-06-13,188968.07192000,192819.69366600,187562.91312200,189179.98005000,25905.20000000,26433.21000000,25712.57000000,25934.25000000,41065.60853000,41065.60853000
2023-06-12,189116.44408400,190436.32900800,186757.15160600,188967.99897400,25925.54000000,26106.48000000,25602.11000000,25905.19000000,29900.50893000,29900.50893000
2023-06-11,188501.36341200,191168.70684800,186994.88262000,189116.51703000,25841.22000000,26206.88000000,25634.70000000,25925.55000000,30014.29595000,30014.29595000
2023-06-10,193144.95988000,193553.96810200,184976.46680000,188501.29046600,26477.80000000,26533.87000000,25358.00000000,25841.21000000,64944.60108000,64944.60108000
2023-06-09,193296.83345200,195373.67901800,191628.48548600,193145.03282600,26498.62000000,26783.33000000,26269.91000000,26477.81000000,27934.70970000,27934.70970000
2023-06-08,192134.94956400,195568.22600000,191191.46600000,193296.76050600,26339.34000000,26810.00000000,26210.00000000,26498.61000000,31075.51083000,31075.51083000
2023-06-07,198632.46862200,199812.00544200,190571.49794600,192134.94956400,27230.07000000,27391.77000000,26125.01000000,26339.34000000,59619.44364000,59619.44364000
2023-06-06,187676.92772000,199546.19021800,184925.55049200,198632.54156800,25728.20000000,27355.33000000,25351.02000000,27230.08000000,68392.60438000,68392.60438000
2023-06-05,197794.53792000,197897.61061800,185195.30480000,187676.92772000,27115.20000000,27129.33000000,25388.00000000,25728.20000000,65805.60305000,65805.60305000
2023-06-04,197459.13221200,200273.38889200,196596.76460000,197794.61086600,27069.22000000,27455.02000000,26951.00000000,27115.21000000,19258.41049000,19258.41049000
2023-06-03,198723.79701400,199385.41723400,196333.64837800,197459.13221200,27242.59000000,27333.29000000,26914.93000000,27069.22000000,16595.34117000,16595.34117000
2023-06-02,195626.07217800,199142.58000000,193343.37300000,198723.79701400,26817.93000000,27300.00000000,26505.00000000,27242.59000000,36380.90269000,36380.90269000
2023-06-01,198488.69205600,199507.31000000,194073.19773000,195626.07217800,27210.36000000,27350.00000000,26605.05000000,26817.93000000,39217.80880000,39217.80880000
2023-05-31,202019.49729400,203048.91124600,195779.84234600,198488.61911000,27694.39000000,27835.51000000,26839.01000000,27210.35000000,46588.80573000,46588.80573000
2023-05-30,202325.87049400,204530.29861400,200995.40840000,202019.57024000,27736.39000000,28038.59000000,27554.00000000,27694.40000000,32686.75371000,32686.75371000
2023-05-29,204723.02194600,207510.50744400,200780.94716000,202325.94344000,28065.01000000,28447.14000000,27524.60000000,27736.40000000,42385.41945000,42385.41945000
